Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1069","Viande, canard","2013","2013","1000 US$","5","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1080","Viande, dinde","2012","2012","tonnes","325","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1080","Viande, dinde","2013","2013","tonnes","302","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","528","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","658","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1080","Viande, dinde","2012","2012","tonnes","2","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1080","Viande, dinde","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","11","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1073","Viande, oie","2012","2012","tonnes","51","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1073","Viande, oie","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1073","Viande, oie","2012","2012","1000 US$","81","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1073","Viande, oie","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1073","Viande, oie","2012","2012","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1073","Viande, oie","2013","2013","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1073","Viande, oie","2012","2012","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1073","Viande, oie","2013","2013","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","1999","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","2008","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","3750","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","4091","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1058","Viande, volaille","2012","2012","tonnes","21101","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1058","Viande, volaille","2013","2013","tonnes","21813","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","31583","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","32614","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1058","Viande, volaille","2012","2012","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1058","Viande, volaille","2013","2013","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","24380","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","25029","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","35953","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","2074","Viande de Volailles","2013","2013","1000 US$","37368","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","2","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","11","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","2074","Viande de Volailles","2013","2013","1000 US$","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1926","Viande Fr Volaille","2012","2012","tonnes","21481","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1926","Viande Fr Volaille","2013","2013","tonnes","22117","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1926","Viande Fr Volaille","2012","2012","1000 US$","32203","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1926","Viande Fr Volaille","2013","2013","1000 US$","33277","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1926","Viande Fr Volaille","2012","2012","tonnes","2","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5910","Exportations - Quantité","1926","Viande Fr Volaille","2013","2013","tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1926","Viande Fr Volaille","2012","2012","1000 US$","11","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","3","Albanie","5922","Exportations - Valeur","1926","Viande Fr Volaille","2013","2013","1000 US$","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1069","Viande, canard","2012","2012","tonnes","4","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1069","Viande, canard","2013","2013","tonnes","1","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1069","Viande, canard","2012","2012","1000 US$","26","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1069","Viande, canard","2013","2013","1000 US$","6","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1069","Viande, canard","2012","2012","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1069","Viande, canard","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1069","Viande, canard","2012","2012","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1069","Viande, canard","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1080","Viande, dinde","2012","2012","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1080","Viande, dinde","2013","2013","tonnes","0","F","Estimation FAO"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","0","F","Estimation FAO"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1080","Viande, dinde","2012","2012","tonnes","103","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1080","Viande, dinde","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","11","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1073","Viande, oie","2012","2012","tonnes","3","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1073","Viande, oie","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1073","Viande, oie","2012","2012","1000 US$","13","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1073","Viande, oie","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1073","Viande, oie","2012","2012","tonnes","132","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1073","Viande, oie","2013","2013","tonnes","320","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1073","Viande, oie","2012","2012","1000 US$","13","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1073","Viande, oie","2013","2013","1000 US$","32","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","1934","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","2393","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","2002","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","2615","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2012","2012","tonnes","","M","Donnée non disponible"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2013","2013","tonnes","","M","Donnée non disponible"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2012","2012","1000 US$","","M","Donnée non disponible"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2013","2013","1000 US$","","M","Donnée non disponible"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1058","Viande, volaille","2012","2012","tonnes","1","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1058","Viande, volaille","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","8","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1058","Viande, volaille","2012","2012","tonnes","5","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","1058","Viande, volaille","2013","2013","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","10","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5922","Exportations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","2812","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","3471","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","4","Algérie","5622","Importations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","2049","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
